Date,expected_load,expected_pv,import_price,export_price,expected_grid_import,expected_grid_export,battery_1_charge,battery_1_discharge,battery_1_soc
2025-04-24 00:00:00,0.9271064893786115,0.0,0.34117,0.0,0.9271064893786115,0.0,0.0,0.0,1.0
2025-04-24 00:15:00,0.912904232593113,0.0,0.34117,0.0,0.912904232593113,0.0,0.0,0.0,1.0
2025-04-24 00:30:00,1.0453353320566814,0.0,0.34117,0.0,1.0453353320566814,0.0,0.0,0.0,1.0
2025-04-24 00:45:00,1.0229162693023675,0.0,0.34117,0.0,1.0229162693023675,0.0,0.0,0.0,1.0
2025-04-24 01:00:00,0.9833832427808973,0.0,0.3353,0.0,0.9833832427808973,0.0,0.0,0.0,0.9999999999999998
2025-04-24 01:15:00,0.9518161651696105,0.0,0.3353,0.0,0.9518161651696105,0.0,0.0,0.0,0.9999999999999998
2025-04-24 01:30:00,1.0238564002143007,0.0,0.3353,0.0,1.0238564002143007,0.0,0.0,0.0,0.9999999999999998
2025-04-24 01:45:00,1.0073290675523532,0.0,0.3353,0.0,1.0073290675523532,0.0,0.0,0.0,0.9999999999999998
2025-04-24 02:00:00,0.8338981769551168,0.0,0.3337,0.0,0.8338981769551168,0.0,0.0,0.0,0.9999999999999998
2025-04-24 02:15:00,0.7478901568720075,0.0,0.3337,0.0,0.7478901568720075,0.0,0.0,0.0,0.9999999999999998
2025-04-24 02:30:00,0.8347174902460315,0.0,0.3337,0.0,0.8347174902460315,0.0,0.0,0.0,0.9999999999999998
2025-04-24 02:45:00,0.9654052327304411,0.0,0.3337,0.0,0.9654052327304411,0.0,0.0,0.0,0.9999999999999998
2025-04-24 03:00:00,0.998972475145129,0.0,0.33265,0.0,0.998972475145129,0.0,0.0,0.0,0.9999999999999998
2025-04-24 03:15:00,1.0204318219502768,0.0,0.33265,0.0,1.0204318219502768,0.0,0.0,0.0,0.9999999999999998
2025-04-24 03:30:00,1.00926965470208,0.0,0.33265,0.0,1.00926965470208,0.0,0.0,0.0,0.9999999999999998
2025-04-24 03:45:00,1.024184434221056,0.0,0.33265,0.0,1.024184434221056,0.0,0.0,0.0,0.9999999999999998
2025-04-24 04:00:00,1.00997009062979,0.0,0.33135000000000003,0.0,1.00997009062979,0.0,0.0,0.0,0.9999999999999998
2025-04-24 04:15:00,0.8007834553496045,0.00664712643678157,0.33135000000000003,0.0,0.7941363289128229,0.0,0.0,0.0,0.9999999999999998
2025-04-24 04:30:00,0.7801831335502202,0.03384425287356316,0.33135000000000003,0.0,0.7463388806766571,0.0,0.0,0.0,0.9999999999999998
2025-04-24 04:45:00,1.0770482668134904,0.07038160919540226,0.33135000000000003,0.0,1.006666657618088,0.0,0.0,0.0,0.9999999999999998
2025-04-24 05:00:00,1.0531400433603924,0.11040919540229889,0.33793000000000006,0.0,0.9427308479580936,0.0,0.0,0.0,0.9999999999999998
2025-04-24 05:15:00,1.1049110084025058,0.16609339080459773,0.33793000000000006,0.0,0.938817617597908,0.0,0.0,0.0,0.9999999999999998
2025-04-24 05:30:00,1.0682527774726016,0.25627097701149426,0.33793000000000006,0.0,0.8119818004611074,0.0,0.0,0.0,0.9999999999999998
2025-04-24 05:45:00,0.9710211318853164,0.39344224137931033,0.33793000000000006,0.0,0.577578890506006,0.0,0.0,0.0,0.9999999999999998
2025-04-24 06:00:00,1.2899772908931308,0.5548324712643679,0.35734,0.0,0.7351448196287629,0.0,0.0,0.0,0.9999999999999998
2025-04-24 06:15:00,1.265013598874408,0.729927011494253,0.35734,0.0,0.5350865873801551,0.0,0.0,1.1102230246251565e-16,0.9999999999999998
2025-04-24 06:30:00,1.0427742998536422,0.974180747126437,0.35734,0.0,0.0902571137620109,0.021663561034805646,0.0,0.0,0.9999999999999998
2025-04-24 06:45:00,2.3319446075185137,1.2139772988505748,0.35734,0.0,1.1501691842011195,0.03220187553318065,0.0,0.0,0.9999999999999998
2025-04-24 07:00:00,2.4965220718722905,1.4275663793103448,0.36551,0.0,1.1700412871566157,0.10108559459467034,0.0,0.0,0.9999999999999998
2025-04-24 07:15:00,1.1741105117967405,1.6380844827586207,0.36551,0.0,0.02807284256741509,0.4920468135292954,0.0,0.0,0.9999999999999998
2025-04-24 07:30:00,1.196458656250635,1.8343132183908044,0.36551,0.0,0.07993075968132109,0.7177853218214907,0.0,0.0,0.9999999999999998
2025-04-24 07:45:00,1.6842797021611515,2.028175862068965,0.36551,0.0,0.0,0.322487301216125,0.021408858691688737,0.0,1.005084603939276
2025-04-24 08:00:00,1.4076467088731117,2.1841497126436784,0.3646499999999999,0.0,0.0,0.2893120652696809,0.4871909385008859,0.0,1.1207924518332364
2025-04-24 08:15:00,1.2524555312771275,2.3444347701149426,0.3646499999999999,0.0,0.016629764348172184,1.1086090031859877,0.0,0.0,1.1207924518332364
2025-04-24 08:30:00,1.426304132927789,2.4991077586206893,0.3646499999999999,0.0,0.047000156152952416,1.1198037818458533,0.0,0.0,1.1207924518332364
2025-04-24 08:45:00,2.0443066516590114,2.616207471264368,0.3646499999999999,0.0,0.10419246709655537,0.6760932867019122,0.0,0.0,1.1207924518332364
2025-04-24 09:00:00,1.809421897788578,2.6326772988505747,0.35590999999999995,0.0,0.0,0.46620695480792074,0.35704844625407595,0.0,1.2055914578185793
2025-04-24 09:15:00,1.0900924094412061,2.778733045977012,0.35590999999999995,0.0,0.1104093455084436,0.12716276759991663,1.671887214444333,0.0,1.6026646712491082
2025-04-24 09:30:00,1.3623985900115971,2.911699712643678,0.35590999999999995,0.0,0.28041591672846256,0.5425779298973764,1.287139109463167,0.0,1.9083602097466108
2025-04-24 09:45:00,1.1110470107746124,2.9282287356321843,0.35590999999999995,0.0,0.21500891104958006,0.2846452327861285,1.7475454031210231,0.0,2.323402242987854
2025-04-24 10:00:00,1.2946181554709544,2.9570767241379317,0.3436699999999999,0.0,0.20621266487033899,1.5176224586076104,0.3510487749297051,0.0,2.4067763270336586
2025-04-24 10:15:00,0.9918603444258377,3.018098563218391,0.3436699999999999,0.0,0.06743918558639571,1.4535843223865195,0.64009308199243,0.0,2.55879843400686
2025-04-24 10:30:00,1.4501040132395426,2.990930747126437,0.3436699999999999,0.0,0.08906491049346331,1.4636498596246952,0.16624178475566231,0.0,2.59828085788633
2025-04-24 10:45:00,1.6565787227461077,3.0418709770114947,0.3436699999999999,0.0,0.2155985548395037,1.6008908091048903,0.0,0.0,2.59828085788633
2025-04-24 11:00:00,1.4214004006110283,3.009995114942529,0.34055,0.0,0.030035673830463284,1.6186303881619635,0.0,0.0,2.59828085788633
2025-04-24 11:15:00,1.4476160570526115,3.018394827586206,0.34055,0.0,0.19617163853320121,0.2058592387960152,1.561091170270781,0.0,2.9690400108256405
2025-04-24 11:30:00,1.1309587331644697,3.0260250000000006,0.34055,0.0,0.2256239112389225,0.16560054698578724,1.955089631088666,0.0,3.4333737982091996
2025-04-24 11:45:00,0.6202248772684733,2.9953879310344833,0.34055,0.0,0.25825517748924065,0.39920490406226355,2.234213327192987,0.0,3.963999463417533
2025-04-24 12:00:00,0.6435630227322044,2.9488382183908044,0.32856,0.0,0.21335379622419223,0.7498118818635316,1.7688171100192611,0.0,4.384093527047108
2025-04-24 12:15:00,0.7048291425153951,2.9059968390804602,0.32856,0.0,0.3528218413026307,0.4083419440793446,2.1456475937883512,0.0,4.893684830571842
2025-04-24 12:30:00,0.8248444433000353,2.8503025862068965,0.32856,0.0,0.4773709335160529,0.33192416863802965,2.1709049077848848,0.0,5.409274746170752
2025-04-24 12:45:00,0.851852765553792,2.7736040229885064,0.32856,0.0,0.4843394940758483,0.3025627465872931,2.1035280049232696,0.0,5.908862647340029
2025-04-24 13:00:00,0.8992530769178604,2.704602011494253,0.32594999999999996,0.0,0.6169067528951949,0.5641814272539273,1.858074260217661,0.0,6.350155284141723
2025-04-24 13:15:00,0.5814221554819744,2.644487356321839,0.32594999999999996,0.0,0.2613680299324825,0.4045133183390882,1.9199199124332589,0.0,6.806136263344623
2025-04-24 13:30:00,0.5407169771152073,2.5317413793103447,0.32594999999999996,0.0,0.22649658724846958,0.4045408219056113,1.812980167537996,0.0,7.236719053134896
2025-04-24 13:45:00,0.7320157006242538,2.4130870689655173,0.32594999999999996,0.0,0.0680187962200998,1.5477061750182524,0.20138398954311088,0.0,7.2845477506513845
2025-04-24 14:00:00,0.9515837679121225,2.29178132183908,0.32503999999999994,0.0,0.0818871577672846,1.4220847116942428,0.0,0.0,7.2845477506513845
2025-04-24 14:15:00,0.8005232669236932,2.1449195402298855,0.32503999999999994,0.0,0.08508357445903214,1.4294798477652246,0.0,0.0,7.2845477506513845
2025-04-24 14:30:00,0.7273787994278811,1.987810632183908,0.32503999999999994,0.0,0.09453400199130177,1.3549658347473286,0.0,0.0,7.2845477506513845
2025-04-24 14:45:00,0.46139994552400376,1.8338178160919538,0.32503999999999994,0.0,0.2305320453690569,0.03651341994486579,1.5664364959921413,0.0,7.656576418449518
2025-04-24 15:00:00,0.4833341554567552,1.6704405172413792,0.32572,0.0,0.2047521852690599,0.049979466187013086,1.3418790808666712,0.0,7.9752727001553545
2025-04-24 15:15:00,0.7364699458789827,1.484098563218391,0.32572,0.0,0.06860989112850362,0.7391228759879618,0.07711563247995001,0.0,7.993587662869341
2025-04-24 15:30:00,2.325182773988513,1.2932795977011493,0.32572,0.0,0.20070263350504863,0.43369184798112864,0.0,1.2648923907634442,7.660721244247383
2025-04-24 15:45:00,0.8704048323959788,1.066697988505747,0.32572,0.0,0.28428371709951605,0.4805768732092843,0.0,0.0,7.660721244247383
2025-04-24 16:00:00,0.8612179771773022,0.8522479885057472,0.33036999999999994,0.0,0.4367383515409857,0.4277683628694309,0.0,0.0,7.660721244247383
2025-04-24 16:15:00,0.694876922751533,0.7004948275862068,0.33036999999999994,0.0,0.35390786895810417,0.35952577379277817,0.0,0.0,7.660721244247383
2025-04-24 16:30:00,0.6798697442468001,0.5444281609195403,0.33036999999999994,0.0,0.37309801277734256,0.2376564294500826,0.0,0.0,7.660721244247383
2025-04-24 16:45:00,1.044805386055841,0.3599890804597701,0.33036999999999994,0.0,0.7823413032809441,0.09752499768487324,0.0,0.0,7.660721244247383
2025-04-24 17:00:00,0.7052529902998609,0.19794137931034486,0.34236,0.0,0.3913971473879833,0.0,0.0,0.11591446360153279,7.630217438036453
2025-04-24 17:15:00,0.7667969217395783,0.12583505747126436,0.34236,0.0,0.370455389613338,0.0,0.0,0.2705064746549759,7.559031523653564
2025-04-24 17:30:00,1.038668810934491,0.09203764367816093,0.34236,0.0,0.6871937047602124,0.0,0.0,0.2594374624961179,7.490758507207217
2025-04-24 17:45:00,1.2542763565391957,0.0614864942528735,0.34236,0.0,0.7566514429121269,0.0,0.0,0.43613841937419534,7.37598523895085
2025-04-24 18:00:00,1.1453027562628855,0.03276293103448272,0.34802,0.0,0.3481241625491324,0.0,0.0,0.7644156626792705,7.174823222456306
2025-04-24 18:15:00,1.09326931245592,0.013606609195402238,0.34802,0.0,0.19581233652926094,0.0,0.0,0.8838503667312568,6.942231020684923
2025-04-24 18:30:00,1.1076694695907172,0.00492499999999998,0.34802,0.0,0.09798015774690313,0.0,0.0,1.004764311843814,6.677819359673393
2025-04-24 18:45:00,0.840154489251243,0.0,0.34802,0.0,0.09132759919060596,0.03806388913790388,0.0,0.7868907791985409,6.470742838831672
2025-04-24 19:00:00,0.9503225895235282,0.0,0.36163999999999996,0.0,0.039888323838975705,0.02097484449068711,0.0,0.9314091101752396,6.22563517825924
2025-04-24 19:15:00,1.1320957555135094,0.0,0.36163999999999996,0.0,0.06936737718370212,0.0066757337443034805,0.0,1.069404112074111,5.944213043502895
2025-04-24 19:30:00,1.1558740224880648,0.0,0.36163999999999996,0.0,0.069846255527073,0.021076566874186197,0.0,1.107104333835178,5.652869797756796
2025-04-24 19:45:00,1.1198758560350202,0.0,0.36163999999999996,0.0,0.056959265441894544,0.008365855865478411,0.0,1.071282446458604,5.370953364478216
2025-04-24 20:00:00,1.1361689775933155,0.0,0.36860999999999994,0.0,0.014725944688585325,0.014039188571505946,0.0,1.135482221476236,5.072142253563417
2025-04-24 20:15:00,1.1630419778781464,0.0,0.36860999999999994,0.0,0.0075160336981878965,0.020559389071994394,0.0,1.176085333251953,4.762646113233957
2025-04-24 20:30:00,1.2283743912421354,0.0,0.36860999999999994,0.0,0.0,0.08874305667453464,0.0,1.31711744791667,4.416036258519043
2025-04-24 20:45:00,1.0768050228881831,0.0,0.36860999999999994,0.0,0.016591977725558982,0.04786162287394194,0.0,1.108074668036566,4.124437661667315
2025-04-24 21:00:00,0.990188867975871,0.0,0.36148,0.0,0.03914475549485958,0.0,0.0,0.9510441124810114,3.8741628952249436
2025-04-24 21:15:00,0.9757166026730003,0.0,0.36148,0.0,0.025078486896091122,0.0,0.0,0.9506381157769092,3.623994970020494
2025-04-24 21:30:00,0.9853658766682942,0.0,0.36148,0.0,0.0353003238932294,0.0,0.0,0.9500655527750648,3.373977719290213
2025-04-24 21:45:00,1.0019030117458774,0.0,0.36148,0.0,0.026060955742730086,0.022728612196180754,0.0,0.998570668199328,3.111195964500917
2025-04-24 22:00:00,1.0211143218485519,0.0,0.35353000000000007,0.0,0.004102300482855914,0.037463422156440086,0.0,1.054475443522136,2.8337024267319335
2025-04-24 22:15:00,0.9843731133185489,0.0,0.35353000000000007,0.0,0.0,0.054862556644015896,0.0,1.039235669962565,2.5602193556891537
2025-04-24 22:30:00,0.9815625419616696,0.0,0.35353000000000007,0.0,0.0,0.05396667692396355,0.0,1.035529218885633,2.2877116665087236
2025-04-24 22:45:00,0.9794687546454534,0.0,0.35353000000000007,0.0,0.0,0.05921579939100459,0.0,1.038684554036458,2.014373625972814
2025-04-24 23:00:00,0.9576963877699105,0.0,0.34009999999999996,0.0,0.0,0.04796227786593949,0.0,1.00565866563585,1.7497266087002221
2025-04-24 23:15:00,0.9346219211663138,0.0,0.34009999999999996,0.0,0.017124911465115134,0.004304655032687665,0.0,0.9218016647338864,1.5071472232439362
2025-04-24 23:30:00,1.1130397006564665,0.0,0.34009999999999996,0.0,0.1963803327941891,0.006539634128146676,0.0,0.9231990019904242,1.2642001174569824
2025-04-24 23:45:00,0.9751424344380694,0.0,0.34009999999999996,0.0,0.006350177425808435,0.035168189324272986,0.0,1.003960446336534,0.9999999999999999
